Territory,Code,Lat,Long
Guinea,GIN,9.945587,-9.696645
Guadeloupe,FRA,16.995971,-62.067641
Equatorial Guinea,GNQ,1.650801,10.267895
Greece,GRC,39.074208,21.824312
Guatemala,GTM,15.783471,-90.230759
Guinea-Bissau,GNB,11.803749,-15.180413
Guyana,GUY,4.860416,-58.93018
Honduras,HND,15.199999,-86.241905
Croatia,HRV,45.1,15.2
Haiti,HTI,18.971187,-72.285215
Hungary,HUN,47.162494,19.503304
Indonesia,IDN,-0.789275,113.921327
Ireland,IRL,53.41291,-8.24389
Israel,ISR,31.046051,34.851612
India,IND,20.593684,78.96288
Iraq,IRQ,33.223191,43.679291
Iran (Islamic Republic of),IRN,32.427908,53.688046
Iceland,ISL,64.963051,-19.020835
Italy,ITA,41.87194,12.56738
Jamaica,JAM,18.109581,-77.297508
Jordan,JOR,30.585164,36.238414
Japan,JPN,36.204824,138.252924
Kenya,KEN,-0.023559,37.906193
Kyrgyzstan,KGZ,41.20438,74.766098
Cambodia,KHM,12.565679,104.990963
Kiribati,KIR,-3.370417,-168.734039
Comoros (the),COM,-11.875001,43.872219
Saint Kitts and Nevis,KNA,17.357822,-62.782998
Republic of Korea (the),KOR,40.339852,127.510093
Democratic People's Republic of Korea (the),PRK,35.907757,127.766922
Kuwait,KWT,29.31166,47.481766
Cayman Islands,CYM,19.513469,-80.566956
Kazakhstan,KAZ,48.019573,66.923684
Lao People's Democratic Republic (the),LAO,19.85627,102.495496
Lebanon,LBN,33.854721,35.862285
Saint Lucia,LCA,13.909444,-60.978893
Liechtenstein,LIE,47.166,9.555373
Sri Lanka,LKA,7.873054,80.771797
Liberia,LBR,6.428055,-9.429499
Lesotho,LSO,-29.609988,28.233608
Lithuania,LTU,55.169438,23.881275
Luxembourg,LUX,49.815273,6.129583
Latvia,LVA,56.879635,24.603189
Libya,LBY,26.3351,17.228331
Morocco,MAR,31.791702,-7.09262
Monaco,MCO,43.750298,7.412841
Republic of Moldova (the),MDA,47.411631,28.369885
Montenegro,MNE,42.708678,19.37439
Madagascar,MDG,-18.766947,46.869107
Marshall Islands (the),MHL,7.131474,171.184478
North Macedonia,MKD,41.608635,21.745275
Mali,MLI,17.570692,-3.996166
Myanmar,MMR,21.913965,95.956223
Mongolia,MNG,46.862496,103.846656
Mauritania,MRT,21.00789,-10.940835
Montserrat,VGB,16.742498,-62.187366
Malta,MLT,35.937496,14.375416
Mauritius,MUS,-20.348404,57.552152
Maldives,MDV,3.202778,73.22068
Malawi,MWI,-13.254308,34.301525
Mexico,MEX,23.634501,-102.552784
Malaysia,MYS,4.210484,101.975766
Mozambique,MOZ,-18.665695,35.529562
Namibia,NAM,-22.95764,18.49041
New Caledonia,NCL,-20.904305,165.618042
Niger (the),NER,17.607789,8.081666
Nigeria,NGA,9.081999,8.675277
Nicaragua,NIC,12.865416,-85.207229
Netherlands (the),NLD,52.132633,5.291266
Norway,NOR,60.472024,8.468946
Nepal,NPL,28.394857,84.124008
Nauru,NRU,-0.522778,166.931503
New Zealand,NZL,-40.900557,174.885971
Oman,OMN,21.512583,55.923255
Panama,PAN,8.537981,-80.782127
Peru,PER,-9.189967,-75.015152
French Polynesia,PYF,-17.679742,-149.406843
Papua New Guinea,PNG,-6.314993,143.95555
Philippines (the),PHL,12.879721,121.774017
Pakistan,PAK,30.375321,69.345116
Poland,POL,51.919438,19.145136
Portugal,PRT,39.399872,-8.224454
Palau,PLW,7.51498,134.58252
Paraguay,PRY,-23.442503,-58.443832
Qatar,QAT,25.354826,51.183884
Reunion,FRA,-21.115141,55.536384
Romania,ROU,45.943161,24.96676
Serbia,SRB,44.016521,21.005859
Russian Federation (the),RUS,61.52401,105.318756
Rwanda,RWA,-1.940278,29.873888
Saudi Arabia,SAU,23.885942,45.079162
Solomon Islands,SLB,-9.64571,160.156194
Seychelles,SYC,-4.679574,55.491977
Sudan (the),SDN,12.862807,30.217636
Sweden,SWE,60.128161,18.643501
Singapore,SGP,1.352083,103.819836
Slovenia,SVN,46.151241,14.995463
Slovakia,SVK,48.669026,19.699024
Sierra Leone,SLE,8.460555,-11.779889
San Marino,SMR,43.94236,12.457777
Senegal,SEN,14.497401,-14.452362
Somalia,SOM,5.152149,46.199616
Suriname,SUR,3.919305,-56.027783
El Salvador,SLV,13.794185,-88.89653
Syrian Arab Republic (the),SYR,34.802075,38.996815
Chad,TCD,15.454166,18.732207
Togo,TGO,8.619543,0.824782
Thailand,THA,15.870032,100.992541
Tajikistan,TJK,38.861034,71.276093
Timor-Leste,TLS,-8.874217,125.727539
Turkmenistan,TKM,38.969719,59.556278
Tunisia,TUN,33.886917,9.537499
Tonga,TON,-21.178986,-175.198242
Turkey,TUR,38.963745,35.243322
Trinidad and Tobago,TTO,10.691803,-61.222503
Tuvalu,TUV,-7.109535,177.64933
Taiwan,CHN,23.69781,120.960515
United Republic of Tanzania (the),TZA,-6.369028,34.888822
Ukraine,UKR,48.379433,31.16558
Uganda,UGA,1.373333,32.290275
United States of America (the),USA,37.09024,-95.712891
Uruguay,URY,-32.522779,-55.765835
Uzbekistan,UZB,41.377491,64.585262
Saint Vincent and the Grenadines,VCT,12.984305,-61.287228
Venezuela (Bolivarian Republic of),VEN,6.42375,-66.58973
Viet Nam,VNM,14.058324,108.277199
Vanuatu,VUT,-15.376706,166.959158
Samoa,WSM,-13.759029,-172.104629
Yemen,YEM,15.552727,48.516388
Mayotte,FRA,-12.8275,45.166244
South Africa,ZAF,-30.559482,22.937506
Zambia,ZMB,-13.133897,27.849332
Zimbabwe,ZWE,-19.015438,29.154857
Eswatini,SWZ,-26.5225,31.4659
Sao Tome and Principe,STP,0.1864,6.6131
South Sudan,SSD,6.877,31.307
Curacao,CUW,12.1696,-68.99
Saint Barthelemy,FRA,17.9,-62.8333
St Martin,MAF,18.0708,-63.0501
