Country Code,Topic,Indicator Name,Needed,Indicator Code,Important,Indicator ID,Combined Feature,Transfered,Note,Short definition,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Social Protection & Labor: Economic activity,Employment in agriculture (% of total employment) (modeled ILO estimate),1,SL.AGR.EMPL.ZS,1,1099,0,0,0,0,69.09400177,70.31700134,63.47700119,62.69900131,62.5340004,61.48300171,60.91500092,59.83300018,59.29399872,53.53099823,48.83800125,44.5379982,38.87799835,38.68700027,38.64599991,38.6780014,38.81800079,38.77399826,38.58800125,38.32400131
AFG,Social Protection & Labor: Economic activity,"Employment to population ratio, 15+, total (%) (national estimate)",1,SL.EMP.TOTL.SP.NE.ZS,1,1117,0,0,use 1117 or 1118 which one is more available,0,,,,,,,,,61.68759918,,,,46.16189957,,,,,42.01459885,,
AFG,Economic Policy & Debt: External debt: Debt ratios & other items,External debt stocks (% of GNI),1,DT.DOD.DECT.GN.ZS,1,122,0,0,0,Total external debt stocks to gross national income.,,,,,,,13.79183198,20.48928559,20.950266,19.995894,15.33333121,14.77500279,13.62310398,12.53818218,12.7571158,13.12764725,13.34467559,13.38990019,13.37101824,
AFG,Health: Health systems,External health expenditure per capita (current US$),1,SH.XPD.EHEX.PC.CD,1,1055,0,0,0,0,,,2.23154483,1.16319765,2.07955339,3.84068521,5.25381051,5.15067399,7.15015398,9.22381711,7.07919608,10.89764013,11.05564785,12.82629351,13.21508158,9.88188416,10.00189145,,,
AFG,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,GDP per capita (current US$),1,NY.GDP.PCAP.CD,1,681,0,2,0,0,,,179.4264945,190.6840088,211.3819695,242.0313792,263.7337347,359.69348,364.6604654,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385,520.8966027,
AFG,Poverty: Income distribution,GINI index (World Bank estimate),1,SI.POV.GINI,1,1077,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI per capita, Atlas method (current US$)",1,NY.GNP.PCAP.CD,1,702,0,2,0,0,,,,,,,,,,450,510,530,630,660,630,600,570,550,550,
AFG,Health: Health systems,"Hospital beds (per 1,000 people)",1,SH.MED.BEDS.ZS,1,967,0,0,0,0,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,,,
AFG,Public Sector: Policy & institutions,Human capital index (HCI) (scale 0-1),1,HD.HCI.OVRL,1,383,0,0,0,0,,,,,,,,,,,,,,,,,,0.389,,
AFG,Health: Disease prevention,"Immunization, DPT (% of children ages 12-23 months)",1,SH.IMM.IDPT,1,965,0,0,0,0,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62,65,66,66,66,
AFG,Health: Disease prevention,"Immunization, HepB3 (% of one-year-old children)",1,SH.IMM.HEPB,1,964,0,0,0,0,,,,,,,,63,64,63,66,68,67,64,62,65,66,66,66,
AFG,Health: Disease prevention,"Immunization, measles (% of children ages 12-23 months)",1,SH.IMM.MEAS,1,966,0,0,0,0,27,37,35,39,48,50,53,55,59,60,62,64,59,57,60,63,64,64,64,
AFG,Health: Risk factors,"Incidence of malaria (per 1,000 population at risk)",1,SH.MLR.INCD.P3,1,972,0,0,0,0,92.64,,,,,,,,,,15.92,19.86,11.76,8.75,11.26,14.22,23,23.01,,
AFG,Health: Risk factors,"Incidence of tuberculosis (per 100,000 people)",1,SH.TBS.INCD,1,1036,0,0,0,0,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,
AFG,Social Protection & Labor: Economic activity,Informal employment (% of total non-agricultural employment),1,SL.ISV.IFRM.ZS,1,1137,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Social Protection & Labor: Migration,International migrant stock (% of population),1,SM.POP.TOTL.ZS,1,1227,0,0,0,"International migrant stock is the number of people born in a country other than that in which they live, including refugees.",0.385327536,,,,,0.357787648,,,,,0.365657832,,,,,1.175546927,,,,
AFG,Private Sector & Trade: Travel & tourism,"International tourism, number of arrivals",1,ST.INT.ARVL,1,1329,0,0,0,"International inbound tourists (overnight visitors) are the number of tourists who travel to a country other than that in which they usually reside, and outside their usual environment, for a period not exceeding 12 months and whose main purpose in visiting is other than an activity remunerated from within the country visited. When data on number of tourists are not available, the number of visitors, which includes tourists, same-day visitors, cruise passengers, and
crew members, is shown instead.",,,,,,,,,,,,,,,,,,,,
AFG,Private Sector & Trade: Travel & tourism,"International tourism, number of departures",1,ST.INT.DPRT,1,1330,ratio of 1329/1330,0,0,International outbound tourists are the number of departures that people make from their country of usual residence to any other country for any purpose other than an activity remunerated in the country visited.,,,,,,,,,,,,,,,,,,,,
AFG,Social Protection & Labor: Labor force structure,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",1,SL.TLF.CACT.NE.ZS,1,1186,0,0,"use one from 1118, 1119,1186, 11887",0,,,,,,,,,63.26570129,,,,46.95629883,,,,,47.30500031,,
AFG,Environment: Land use,Land area (sq. km),1,AG.LND.TOTL.K2,1,20,0,0,0,0,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,
AFG,Health: Mortality,"Life expectancy at birth, total (years)",1,SP.DYN.LE00.IN,1,1242,0,0,0,0,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,,
AFG,Education: Outcomes,"Literacy rate, adult female (% of females ages 15 and above)",1,SE.ADT.LITR.FE.ZS,1,760,0,0,0,0,,,,,,,,,,,,17.61206,,,,,,,29.80521,
AFG,Education: Outcomes,"Literacy rate, adult male (% of males ages 15 and above)",1,SE.ADT.LITR.MA.ZS,1,761,0,0,0,0,,,,,,,,,,,,45.4171,,,,,,,55.47545,
AFG,Private Sector & Trade: Exports,Merchandise exports by the reporting economy (current US$),1,TX.VAL.MRCH.WL.CD,1,1413,0,0,0,"Merchandise exports by the reporting economy are the total merchandise exports by the reporting economy to the rest of the world, as reported in the IMF's Direction of trade database. Data are in current U.S. dollars.",174212661,123624134,111836695,182059686,144631536,147185726,156049532,161331489,540065593,403441017,388483653,375846237,305795136,373958199,414759210,571404993,436179639,526553178,875181037,
AFG,Private Sector & Trade: Exports,Merchandise exports to high-income economies (% of total merchandise exports),1,TX.VAL.MRCH.HI.ZS,1,1404,0,0,0,Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,15.60672677,20.18486051,21.84237025,15.0778141,17.83244423,17.51876401,16.60267972,15.89156783,6.990114255,8.180537082,8.472977884,7.104444151,1.074725073,2.577745862,4.2316601,7.63494956,4.284818302,4.138167408,4.120524152,
AFG,Private Sector & Trade: Exports,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),1,TX.VAL.MRCH.WR.ZS,1,1414,0,0,0,Merchandise exports to low- and middle-income economies within region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in the same World Bank region as a percentage of total merchandise exports by the economy.,43.75968748,27.65814481,21.83221706,45.66040721,35.98588623,37.15888863,40.5238902,43.28841718,73.38335901,66.21558635,55.78113373,66.80593426,88.65620544,80.57305811,84.00145472,72.81321254,82.55937412,83.05229315,84.28908269,
AFG,Private Sector & Trade: Imports,Merchandise imports from high-income economies (% of total merchandise imports),1,TM.VAL.MRCH.HI.ZS,1,1375,0,0,0,Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,12.34872648,12.42609989,12.05493752,11.8884298,11.91900158,12.21424933,13.11864935,15.4733877,20.93499873,21.87858176,26.21504709,21.25134452,14.46560933,2.386722387,4.210886567,13.87084832,13.89328897,15.03140968,11.42644208,
AFG,Private Sector & Trade: Total merchandise trade,Merchandise trade (% of GDP),1,TG.VAL.TOTL.GD.ZS,1,1339,0,0,0,0,,,62.93190265,49.71694104,47.48625916,45.98060246,45.32879111,35.65901327,35.21538438,30.05847597,34.95080176,38.70417558,47.48616362,44.10766082,40.51282088,41.66350318,36.8234867,41.40301764,42.77236487,
AFG,Infrastructure: Communications,Mobile cellular subscriptions (per 100 people),1,IT.CEL.SETS.P2,1,508,0,0,0,0,0,0,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,
AFG,Social Protection & Labor: Migration,Net migration,1,SM.POP.NETM,1,1223,0,0,0,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens, for the five-year period.",,,744193,,,,,-1046361,,,,,521769,,,,,-314602,,
AFG,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Net primary income (Net income from abroad) (current US$),1,NY.GSR.NFCY.CD,1,713,0,2,0,0,,0,,,,,,,,-35470045.75,27931207.42,-19413354.74,31644481.77,71736630.11,-2370653.2,179961854.7,96142257.07,99309674.18,122140013.6,
AFG,Health: Health systems,"Number of surgical procedures (per 100,000 population)",1,SH.SGR.PROC.P5,1,984,"sum(984,971,970,968,968",0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Health: Health systems,"Nurses and midwives (per 1,000 people)",1,SH.MED.NUMW.P3,1,969,0,0,0,0,,,,,,0.5955,0.4492,0.5046,0.5049,0.6162,,,,,0.32,,,,,
AFG,Health: Disease prevention,People with basic handwashing facilities including soap and water (% of population),1,SH.STA.HYGN.ZS,1,1000,0,0,0,0,,,,,,36.93204,37.05025,37.17123,37.29531,37.42216,37.55213,37.6852,37.82138,37.96068,37.51687034,37.59152953,37.66653456,37.74603202,,
AFG,Health: Health systems,"Physicians (per 1,000 people)",1,SH.MED.PHYS.ZS,1,970,0,0,0,0,,0.1957,,,,,0.163,0.1774,0.1771,0.2156,0.2396,0.2553,0.245,0.2894,0.3039,0.2907,0.284,,,
AFG,Health: Population: Structure,Population ages 0-14 (% of total population),1,SP.POP.0014.TO.ZS,1,1259,0,0,use either male or female,0,48.89337334,48.8226633,48.64540456,48.4139118,48.15413988,47.85964149,47.98974193,48.12623263,48.22715133,48.25041109,48.17814541,47.70159044,47.08975945,46.38667074,45.64058919,44.87703888,44.27211325,43.682526,43.09017551,
AFG,Health: Population: Structure,Population ages 15-64 (% of total population),1,SP.POP.1564.TO.ZS,1,1271,0,0,use either male or female,0,48.81468211,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,
AFG,Health: Population: Structure,Population ages 65 and above (% of total population),1,SP.POP.65UP.TO.ZS,1,1297,0,0,use either male or female,0,2.291944549,2.271866861,2.25584792,2.243148067,2.233425234,2.227488227,2.251821196,2.270637747,2.287167908,2.305590109,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,
AFG,Environment: Density & urbanization,Population density (people per sq. km of land area),1,EN.POP.DNST,1,268,0,0,0,0,31.82911038,33.09589805,34.61809576,36.27251019,37.87440493,39.2952195,40.48808167,41.51048617,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.7120715,54.19711424,55.59599302,56.93776001,
AFG,Environment: Density & urbanization,Population in the largest city (% of urban population),1,EN.URB.LCTY.UR.ZS,1,274,0,0,0,0,52.33685092,52.36846022,52.09147717,51.72797747,50.94021681,49.88037171,49.18532873,48.74108102,48.41336244,48.02442307,47.47570789,46.74723862,45.91161052,45.0502456,44.26963378,43.62365133,43.11873712,42.69901682,42.33119836,
AFG,Environment: Density & urbanization,Population in urban agglomerations of more than 1 million (% of total population),1,EN.URB.MCTY.TL.ZS,1,276,0,0,0,0,11.55492989,11.60956354,11.59608279,11.5627546,11.46154899,11.32434175,11.26688412,11.26552626,11.28999654,11.29918693,11.26930911,11.1950286,11.09224445,10.98009646,10.8845747,10.8199743,10.78830848,10.78150175,10.79233924,
AFG,Environment: Density & urbanization,Population living in slums (% of urban population),1,EN.POP.SLUM.UR.ZS,1,272,0,0,0,0,,,,,,,,,,,,,,,62.7,,,,,
AFG,Health: Population: Structure,"Population, total",1,SP.POP.TOTL,1,1311,0,0,0,0,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,
AFG,Poverty: Poverty rates,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),1,SI.POV.LMIC,1,1078,0,0,0,"Poverty headcount ratio at $3.20 a day is the percentage of the population living on less than $3.20 a day at 2011 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",,,,,,,,,,,,,,,,,,,,
AFG,Health: Risk factors,"Prevalence of HIV, total (% of population ages 15-49)",1,SH.DYN.AIDS.ZS,1,940,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
AFG,Environment: Density & urbanization,Rural population (% of total population),1,SP.RUR.TOTL.ZS,1,1324,0,0,0,0,77.922,77.831,77.739,77.647,77.5,77.297,77.093,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,
AFG,Health: Risk factors,"Smoking prevalence, total (ages 15+)",1,SH.PRV.SMOK,1,979,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Health: Health systems,"Specialist surgical workforce (per 100,000 population)",1,SH.MED.SAOP.P5,1,971,0,0,0,0,,,,,,,,,,,,,,,0.03,,,,,
AFG,Public Sector: Government finance: Revenue,Tax revenue (% of GDP),1,GC.TAX.TOTL.GD.ZS,1,365,0,0,0,0,,,,,,,6.967597575,5.283456604,6.08796493,8.481758361,9.169751919,8.916793996,7.707800603,7.12277329,6.882102943,7.585382331,8.842616158,9.250468049,,
AFG,Economic Policy & Debt: Balance of payments: Reserves & other items,Total reserves (% of total external debt),1,FI.RES.TOTL.DT.ZS,1,303,0,0,0,0,,,,,,,,,141.900322,171.9967932,211.9555812,241.4509515,262.0705889,281.7459538,288.1215989,264.5836808,280.4281513,298.0278301,314.9925461,
AFG,Economic Policy & Debt: Balance of payments: Reserves & other items,Total reserves in months of imports,1,FI.RES.TOTL.MO,1,304,0,0,0,0,,,,,,,,,15.76221378,12.2012652,10.45258934,10.34267788,8.675266356,8.583004211,10.6934544,9.761718286,11.8275868,12.12939358,12.18926608,
AFG,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Trade in services (% of GDP),1,BG.GSR.NFSV.GD.ZS,1,30,0,2,0,0,,,,,,,,,13.67161961,20.47095591,20.27021558,23.36282559,18.17635105,11.62657351,13.7782704,10.16426891,8.214071379,7.896426803,10.97609813,
AFG,Health: Disease prevention,"Tuberculosis case detection rate (%, all forms)",1,SH.TBS.DTEC.ZS,1,1035,0,0,0,0,18,25,32,31,39,45,51,56,54,49,51,49,49,50,50,55,63,68,69,
AFG,Health: Disease prevention,Tuberculosis treatment success rate (% of new cases),1,SH.TBS.CURE.ZS,1,1034,0,0,0,0,85,84,87,86,89,90,84,87,88,86,86,88,88,88,87,88,93,91,,
AFG,Health: Universal Health Coverage,UHC service coverage index,1,SH.UHC.SRVS.CV.XD,1,1049,0,0,0,UHC service coverage index,,,,,,,,,,,,,,,,34,,37,,
AFG,Environment: Land use,Urban land area (sq. km),1,AG.LND.TOTL.UR.K2,1,22,22/20,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Environment: Energy production & use,Access to electricity (% of population),1,EG.ELC.ACCS.ZS,1,199,0,2,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
ALB,Health: Risk factors,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1,SH.DTH.COMM.ZS,1,932,0,0,0,0,7.3,,,,,,,,,,3.3,,,,,2.9,2.9,,,
ALB,Health: Disease prevention,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),1,SH.MLR.TRET.ZS,1,974,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Health: Health systems,"Community health workers (per 1,000 people)",1,SH.MED.CMHW.P3,1,968,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Social Protection & Labor: Performance,Coverage of social safety net programs (% of population),1,per_sa_allsa.cov_pop_tot,1,741,0,0,0,0,,,,,,,,,32.67408536,,,,19.08167238,,,,,,,
ALB,Public Sector: Policy & institutions,CPIA macroeconomic management rating (1=low to 6=high),1,IQ.CPA.MACR.XQ,1,482,0,0,0,0,,,,,,4.5,4.5,,,,,,,,,,,,,
ALB,Public Sector: Policy & institutions,CPIA social protection rating (1=low to 6=high),1,IQ.CPA.PROT.XQ,1,486,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Health: Health systems,Current health expenditure per capita (current US$),1,SH.XPD.CHEX.PC.CD,1,1052,0,0,0,0,75.53147245,81.94641716,89.85832912,113.5839822,151.980517,165.8655118,172.7955964,216.4131347,239.6843506,206.9448201,203.2085885,246.8037602,246.7425456,277.6689966,313.2628968,264.4346027,271.5430426,,,
ALB,Health: Risk factors,Diabetes prevalence (% of population ages 20 to 79),1,SH.STA.DIAB.ZS,1,996,0,0,0,0,,,,,,,,,,,4.5,,,,,,,,,9
ALB,Environment: Land use,Disaster risk reduction progress score (1-5 scale; 5=best),1,EN.CLC.DRSK.XQ,1,257,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Health: Health systems,Domestic general government health expenditure per capita (current US$),1,SH.XPD.GHED.PC.CD,1,1060,0,0,0,0,26.72516605,30.06941877,32.24477346,40.20335782,64.21336027,73.18395922,76.13274488,89.88622135,113.9834042,111.7390692,100.886331,123.1717264,111.0714214,121.1241378,137.2922302,112.5030255,112.301534,,,
ALB,Health: Health systems,Domestic private health expenditure per capita (current US$),1,SH.XPD.PVTD.PC.CD,1,1066,0,0,0,0,48.80701964,51.87673055,57.61355565,68.20713848,82.63530058,87.02388814,89.87259143,117.6817397,120.9418108,88.14802761,97.56730498,119.931235,130.7333901,153.1516723,174.4446584,149.8980608,157.4431038,,,
ALB,Social Protection & Labor: Economic activity,Employment in agriculture (% of total employment) (modeled ILO estimate),1,SL.AGR.EMPL.ZS,1,1099,0,0,0,0,46.22600174,46.05799866,45.85800171,45.66500092,45.47100067,45.27099991,45.06200027,44.85699844,44.65599823,44.05199814,42.08399963,45.38800049,46.04299927,44.19800186,42.88899994,41.36299896,39.78699875,38.20399857,37.99700165,37.79100037
ALB,Social Protection & Labor: Economic activity,"Employment to population ratio, 15+, total (%) (national estimate)",1,SL.EMP.TOTL.SP.NE.ZS,1,1117,0,0,use 1117 or 1118 which one is more available,0,,,,,50.29999924,,,40.94779968,46.24539948,47.47309875,47.42599869,51.85739899,49.37120056,44.10150146,44.33000183,46.15000153,,50.29000092,,
ALB,Economic Policy & Debt: External debt: Debt ratios & other items,External debt stocks (% of GNI),1,DT.DOD.DECT.GN.ZS,1,122,0,0,0,Total external debt stocks to gross national income.,31.28899392,28.52419234,26.51030906,26.91029282,21.83127819,25.91106553,27.52049096,27.06972261,32.91496597,38.89582405,46.08195552,50.32289039,60.42789845,69.77286319,64.72463257,75.13363394,72.51720201,77.06150113,67.24429787,
ALB,Health: Health systems,External health expenditure per capita (current US$),1,SH.XPD.EHEX.PC.CD,1,1055,0,0,0,0,,,,5.17348591,5.13185613,5.65874843,6.79026008,8.84385565,4.75879522,7.05772324,4.75351515,3.70079876,4.93773405,3.39318654,1.52426795,2.03450701,1.7984047,,,
ALB,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,GDP per capita (current US$),1,NY.GDP.PCAP.CD,1,681,0,2,0,0,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540087,4114.14015,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458,4124.108907,4532.890162,5268.848504,
ALB,Poverty: Income distribution,GINI index (World Bank estimate),1,SI.POV.GINI,1,1077,0,0,0,0,,,31.7,,,30.6,,,30,,,,29,,34.6,32.9,33.7,33.2,,
ALB,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI per capita, Atlas method (current US$)",1,NY.GNP.PCAP.CD,1,702,0,2,0,0,1100,1280,1370,1650,2100,2620,3050,3460,4030,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,
ALB,Health: Health systems,"Hospital beds (per 1,000 people)",1,SH.MED.BEDS.ZS,1,967,0,0,0,0,3.3,3.3,3.1,3.1,3,3.1,3.1,3.1,,2.8,3,2.6,2.9,2.9,,,,,,
ALB,Public Sector: Policy & institutions,Human capital index (HCI) (scale 0-1),1,HD.HCI.OVRL,1,383,0,0,0,0,,,,,,,,,,,,,,,,,,0.621,,
ALB,Health: Disease prevention,"Immunization, DPT (% of children ages 12-23 months)",1,SH.IMM.IDPT,1,965,0,0,0,0,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98,99,98,99,99,
ALB,Health: Disease prevention,"Immunization, HepB3 (% of one-year-old children)",1,SH.IMM.HEPB,1,964,0,0,0,0,96,96,96,97,99,98,98,98,99,98,99,99,99,99,98,99,98,99,99,
ALB,Health: Disease prevention,"Immunization, measles (% of children ages 12-23 months)",1,SH.IMM.MEAS,1,966,0,0,0,0,95,95,96,93,96,97,95,97,98,97,99,99,98,99,98,97,96,96,94,
ALB,Health: Risk factors,"Incidence of malaria (per 1,000 population at risk)",1,SH.MLR.INCD.P3,1,972,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALB,Health: Risk factors,"Incidence of tuberculosis (per 100,000 people)",1,SH.TBS.INCD,1,1036,0,0,0,0,22,20,22,20,20,19,18,17,16,17,17,17,16,19,16,17,17,20,18,
ALB,Social Protection & Labor: Economic activity,Informal employment (% of total non-agricultural employment),1,SL.ISV.IFRM.ZS,1,1137,0,0,0,0,,,,,,,,,,,,,40.16999817,33.11000061,,,,,,
ALB,Social Protection & Labor: Migration,International migrant stock (% of population),1,SM.POP.TOTL.ZS,1,1227,0,0,0,"International migrant stock is the number of people born in a country other than that in which they live, including refugees.",2.456625875,,,,,2.100434369,,,,,1.818956864,,,,,1.98903641,,,,
ALB,Private Sector & Trade: Travel & tourism,"International tourism, number of arrivals",1,ST.INT.ARVL,1,1329,0,0,0,"International inbound tourists (overnight visitors) are the number of tourists who travel to a country other than that in which they usually reside, and outside their usual environment, for a period not exceeding 12 months and whose main purpose in visiting is other than an activity remunerated from within the country visited. When data on number of tourists are not available, the number of visitors, which includes tourists, same-day visitors, cruise passengers, and
crew members, is shown instead.",,,,,,,,1062000,1247000,1711000,2191000,2469000,3156000,2857000,3341000,3784000,4070000,4643000,5340000,
ALB,Private Sector & Trade: Travel & tourism,"International tourism, number of departures",1,ST.INT.DPRT,1,1330,ratio of 1329/1330,0,0,International outbound tourists are the number of departures that people make from their country of usual residence to any other country for any purpose other than an activity remunerated in the country visited.,,955000,1303000,1350000,1694000,2097000,2616000,2979000,3716000,3404000,3443000,4120000,3959000,3928000,4146000,4504000,4852000,5186000,5415000,
ALB,Social Protection & Labor: Labor force structure,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",1,SL.TLF.CACT.NE.ZS,1,1186,0,0,"use one from 1118, 1119,1186, 11887",0,55.59999847,,59.61000061,35,34.79000092,34.5,34.45000076,48.72779846,53.19219971,54.99280167,55.2018013,59.9375,56.99480057,52.41809845,53.72000122,55.65999985,,58.29999924,,
ALB,Environment: Land use,Land area (sq. km),1,AG.LND.TOTL.K2,1,20,0,0,0,0,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,
ALB,Health: Mortality,"Life expectancy at birth, total (years)",1,SP.DYN.LE00.IN,1,1242,0,0,0,0,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,,
ALB,Education: Outcomes,"Literacy rate, adult female (% of females ages 15 and above)",1,SE.ADT.LITR.FE.ZS,1,760,0,0,0,0,,98.25227,,,,,,,94.68181,,,95.69148,96.13607,,,,,,97.76112,
ALB,Education: Outcomes,"Literacy rate, adult male (% of males ages 15 and above)",1,SE.ADT.LITR.MA.ZS,1,761,0,0,0,0,,99.18761,,,,,,,97.3062,,,98.00816,98.35261,,,,,,98.51362,
